location_id,state,district,city,locality
258,Chhattisgarh,Bilaspur,Ghumarwin,Ghumarwin
259,Chhattisgarh,Dantewada,Dantewada,Dantewada
260,Chhattisgarh,Dhamtari,Dhamtari,Dhamtari
261,Chhattisgarh,Durg,Rajnandgaon,Rajnandgaon
262,Chhattisgarh,Durg,Durg,Durg
263,Chhattisgarh,Durg,Bhilai,Bhilai
264,Chhattisgarh,Gariaband,Gariaband,Gariaband
265,Chhattisgarh,Gaurela-Pendra-Marwahi,Gaurela,Gaurela
266,Chhattisgarh,Janjgir-Champa,Champa,Champa
267,Chhattisgarh,Janjgir-Champa,Janjgir,Janjgir
268,Chhattisgarh,Jashpur,Jashpur,Jashpur
269,Chhattisgarh,Kabirdham,Kawardha,Kawardha
270,Chhattisgarh,Kanker,Kanker,Kanker
271,Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,Khairagarh,Khairagarh
272,Chhattisgarh,Kondagaon,Kondagaon,Kondagaon
273,Chhattisgarh,Korba,Korba,Korba
274,Chhattisgarh,Korba,Champa,Champa
275,Chhattisgarh,Koriya,Koriya,Koriya
276,Chhattisgarh,Mahasamund,Mahasamund,Mahasamund
277,Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,Manendragarh,Manendragarh
278,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,Mohla,Mohla
279,Chhattisgarh,Mungeli,Mungeli,Mungeli
280,Chhattisgarh,Narayanpur,Narayanpur,Narayanpur
281,Chhattisgarh,Raigarh,Sarangarh,Sarangarh
282,Chhattisgarh,Raigarh,Raigarh,Raigarh
283,Chhattisgarh,Raipur,Raipur,Raipur
284,Chhattisgarh,Raipur,Abhanpur,Abhanpur
285,Chhattisgarh,Raipur,Arang,Arang
286,Chhattisgarh,Rajnandgaon,Dongargarh,Dongargarh
287,Chhattisgarh,Rajnandgaon,Rajnandgaon,Rajnandgaon
288,Chhattisgarh,Sakti,Sakti,Sakti
289,Chhattisgarh,Sarangarh-Bilaigarh,Sarangarh,Sarangarh
290,Chhattisgarh,Sukma,Sukma,Sukma
291,Chhattisgarh,Surajpur,Surajpur,Surajpur
292,Chhattisgarh,Surguja,Ambikapur,Ambikapur
293,Chhattisgarh,Surguja,Surajpur,Surajpur
294,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Amli,Amli
295,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Silvassa,Silvassa
296,Dadra and Nagar Haveli and Daman and Diu,Daman,Daman,Daman
297,Dadra and Nagar Haveli and Daman and Diu,Daman,Nani Daman,Nani Daman
298,Dadra and Nagar Haveli and Daman and Diu,Diu,Diu,Diu
299,Delhi,Central Delhi,Connaught Place,Connaught Place
300,Delhi,Central Delhi,Karol Bagh,Karol Bagh
301,Delhi,Central Delhi,Paharganj,Paharganj
302,Delhi,Central Delhi,Darya Ganj,Darya Ganj
303,Delhi,East Delhi,Vivek Vihar,Vivek Vihar
304,Delhi,East Delhi,Shakarpur,Shakarpur
305,Delhi,East Delhi,Laxmi Nagar,Laxmi Nagar
306,Delhi,East Delhi,Preet Vihar,Preet Vihar
307,Delhi,New Delhi,New Delhi,New Delhi
308,Delhi,New Delhi,RK Puram,RK Puram
309,Delhi,New Delhi,Chanakyapuri,Chanakyapuri
310,Delhi,New Delhi,Sarojini Nagar,Sarojini Nagar
311,Delhi,North Delhi,Mukherjee Nagar,Mukherjee Nagar
312,Delhi,North Delhi,Model Town,Model Town
313,Delhi,North Delhi,Burari,Burari
314,Delhi,North Delhi,GTB Nagar,GTB Nagar
315,Delhi,North East Delhi,Mustafabad,Mustafabad
316,Delhi,North East Delhi,Seelampur,Seelampur
317,Delhi,North East Delhi,Yamuna Vihar,Yamuna Vihar
318,Delhi,North West Delhi,Shalimar Bagh,Shalimar Bagh
319,Delhi,North West Delhi,Bawana,Bawana
320,Delhi,North West Delhi,Pitampura,Pitampura
321,Delhi,North West Delhi,Rohini,Rohini
322,Delhi,Shahdara,Shahdara,Shahdara
323,Delhi,Shahdara,Dilshad Garden,Dilshad Garden
324,Delhi,Shahdara,Krishna Nagar,Krishna Nagar
325,Delhi,South Delhi,Hauz Khas,Hauz Khas
326,Delhi,South Delhi,Greater Kailash,Greater Kailash
327,Delhi,South Delhi,Saket,Saket
328,Delhi,South Delhi,Lajpat Nagar,Lajpat Nagar
329,Delhi,South Delhi,Vasant Kunj,Vasant Kunj
330,Delhi,South East Delhi,Jamia Nagar,Jamia Nagar
331,Delhi,South East Delhi,Kalkaji,Kalkaji
332,Delhi,South East Delhi,Okhla,Okhla
333,Delhi,South West Delhi,Janakpuri,Janakpuri
334,Delhi,South West Delhi,Dwarka,Dwarka
335,Delhi,South West Delhi,Najafgarh,Najafgarh
336,Delhi,South West Delhi,Uttam Nagar,Uttam Nagar
337,Delhi,West Delhi,Rajouri Garden,Rajouri Garden
338,Delhi,West Delhi,Paschim Vihar,Paschim Vihar
339,Delhi,West Delhi,Punjabi Bagh,Punjabi Bagh
340,Delhi,West Delhi,Tilak Nagar,Tilak Nagar
341,Goa,North Goa,Mapusa,Mapusa
342,Goa,North Goa,Pernem,Pernem
343,Goa,North Goa,Candolim,Candolim
344,Goa,North Goa,Calangute,Calangute
345,Goa,North Goa,Panaji,Panaji
346,Goa,South Goa,Vasco da Gama,Vasco da Gama
347,Goa,South Goa,Ponda,Ponda
348,Goa,South Goa,Margao,Margao
349,Goa,South Goa,Quepem,Quepem
350,Goa,Kushavati,Kushavati,Kushavati
351,Gujarat,Ahmedabad,Chandkheda,Chandkheda
352,Gujarat,Ahmedabad,Naroda,Naroda
353,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad
354,Gujarat,Ahmedabad,Maninagar,Maninagar
355,Gujarat,Ahmedabad,Satellite,Satellite
356,Gujarat,Ahmedabad,Odhav,Odhav
357,Gujarat,Amreli,Savarkundla,Savarkundla
358,Gujarat,Amreli,Amreli,Amreli
359,Gujarat,Anand,Vallabh Vidyanagar,Vallabh Vidyanagar
360,Gujarat,Anand,Nadiad,Nadiad
361,Gujarat,Anand,Anand,Anand
362,Gujarat,Aravalli,Modasa,Modasa
363,Gujarat,Banaskantha,Deesa,Deesa
364,Gujarat,Banaskantha,Palanpur,Palanpur
365,Gujarat,Bharuch,Bharuch,Bharuch
366,Gujarat,Bharuch,Ankleshwar,Ankleshwar
367,Gujarat,Bharuch,Dahej,Dahej
368,Gujarat,Bhavnagar,Palitana,Palitana
369,Gujarat,Bhavnagar,Mahuva,Mahuva
370,Gujarat,Bhavnagar,Bhavnagar,Bhavnagar
371,Gujarat,Botad,Botad,Botad
372,Gujarat,Chhota Udaipur,Chhota Udaipur,Chhota Udaipur
373,Gujarat,Dahod,Dahod,Dahod
374,Gujarat,Dang,Ahwa,Ahwa
375,Gujarat,Devbhumi Dwarka,Dwarka,Dwarka
376,Gujarat,Devbhumi Dwarka,Khambhalia,Khambhalia
377,Gujarat,Gandhinagar,Kalol,Kalol
378,Gujarat,Gandhinagar,Mansa,Mansa
379,Gujarat,Gandhinagar,Gandhinagar,Gandhinagar
380,Gujarat,Gir Somnath,Veraval,Veraval
381,Gujarat,Gir Somnath,Somnath,Somnath
382,Gujarat,Jamnagar,Jamnagar,Jamnagar
383,Gujarat,Jamnagar,Dwarka,Dwarka
384,Gujarat,Junagadh,Junagadh,Junagadh
385,Gujarat,Junagadh,Veraval,Veraval
386,Gujarat,Junagadh,Keshod,Keshod
387,Gujarat,Kutch,Anjar,Anjar
388,Gujarat,Kutch,Mundra,Mundra
389,Gujarat,Kutch,Gandhidham,Gandhidham
390,Gujarat,Kutch,Bhuj,Bhuj
391,Gujarat,Kheda,Kheda,Kheda
392,Gujarat,Kheda,Nadiad,Nadiad
393,Gujarat,Mahisagar,Lunawada,Lunawada
394,Gujarat,Mehsana,Visnagar,Visnagar
395,Gujarat,Mehsana,Unjha,Unjha
396,Gujarat,Mehsana,Mehsana,Mehsana
397,Gujarat,Morbi,Morbi,Morbi
398,Gujarat,Morbi,Wankaner,Wankaner
399,Gujarat,Narmada,Rajpipla,Rajpipla
400,Gujarat,Navsari,Navsari,Navsari
401,Gujarat,Navsari,Bilimora,Bilimora
402,Gujarat,Panchmahal,Godhra,Godhra
403,Gujarat,Patan,Siddhpur,Siddhpur
404,Gujarat,Patan,Patan,Patan
405,Gujarat,Porbandar,Porbandar,Porbandar
406,Gujarat,Rajkot,Jetpur,Jetpur
407,Gujarat,Rajkot,Gondal,Gondal
408,Gujarat,Rajkot,Rajkot,Rajkot
409,Gujarat,Rajkot,Wankaner,Wankaner
410,Gujarat,Sabarkantha,Himmatnagar,Himmatnagar
411,Gujarat,Surat,Bardoli,Bardoli
412,Gujarat,Surat,Olpad,Olpad
413,Gujarat,Surat,Surat,Surat
414,Gujarat,Surendranagar,Dhrangadhra,Dhrangadhra
415,Gujarat,Surendranagar,Surendranagar,Surendranagar
416,Gujarat,Tapi,Vyara,Vyara
417,Gujarat,Vadodara,Vadodara,Vadodara
418,Gujarat,Vadodara,Padra,Padra
419,Gujarat,Vadodara,Karjan,Karjan
420,Gujarat,Valsad,Valsad,Valsad
421,Gujarat,Valsad,Vapi,Vapi
422,Gujarat,Valsad,Umbergaon,Umbergaon
423,Haryana,Ambala,Naraingarh,Naraingarh
424,Haryana,Ambala,Ambala Cantt,Ambala Cantt
425,Haryana,Ambala,Ambala,Ambala
426,Haryana,Bhiwani,Bhiwani,Bhiwani
427,Haryana,Bhiwani,Charkhi Dadri,Charkhi Dadri
428,Haryana,Charkhi Dadri,Charkhi Dadri,Charkhi Dadri
429,Haryana,Faridabad,Ballabhgarh,Ballabhgarh
430,Haryana,Faridabad,Faridabad,Faridabad
431,Haryana,Fatehabad,Fatehabad,Fatehabad
432,Haryana,Fatehabad,Tohana,Tohana
433,Haryana,Gurugram,Sohna,Sohna
434,Haryana,Gurugram,Gurugram,Gurugram
435,Haryana,Gurugram,Manesar,Manesar
436,Haryana,Hisar,Fatehabad,Fatehabad
437,Haryana,Hisar,Hisar,Hisar
438,Haryana,Hisar,Hansi,Hansi
439,Haryana,Jhajjar,Jhajjar,Jhajjar
440,Haryana,Jhajjar,Bahadurgarh,Bahadurgarh
441,Haryana,Jind,Narwana,Narwana
442,Haryana,Jind,Jind,Jind
443,Haryana,Kaithal,Kaithal,Kaithal
444,Haryana,Kaithal,Guhla,Guhla
445,Haryana,Karnal,Panipat,Panipat
446,Haryana,Karnal,Karnal,Karnal
447,Haryana,Kurukshetra,Thanesar,Thanesar
448,Haryana,Kurukshetra,Kurukshetra,Kurukshetra
449,Haryana,Mahendragarh,Mahendragarh,Mahendragarh
450,Haryana,Mahendragarh,Narnaul,Narnaul
451,Haryana,Nuh,Punhana,Punhana
452,Haryana,Nuh,Nuh,Nuh
453,Haryana,Palwal,Hodal,Hodal
454,Haryana,Palwal,Palwal,Palwal
455,Haryana,Panchkula,Panchkula,Panchkula
456,Haryana,Panchkula,Kalka,Kalka
457,Haryana,Panipat,Panipat,Panipat
458,Haryana,Rewari,Rewari,Rewari
459,Haryana,Rewari,Dharuhera,Dharuhera
460,Haryana,Rohtak,Rohtak,Rohtak
461,Haryana,Rohtak,Bahadurgarh,Bahadurgarh
462,Haryana,Sirsa,Ellenabad,Ellenabad
463,Haryana,Sirsa,Sirsa,Sirsa
464,Haryana,Sonipat,Gohana,Gohana
465,Haryana,Sonipat,Sonipat,Sonipat
466,Haryana,Yamunanagar,Yamunanagar,Yamunanagar
467,Haryana,Yamunanagar,Jagadhri,Jagadhri
468,Himachal Pradesh,Bilaspur,Bilaspur,Bilaspur
469,Himachal Pradesh,Bilaspur,Ghumarwin,Ghumarwin
470,Himachal Pradesh,Chamba,Dalhousie,Dalhousie
471,Himachal Pradesh,Chamba,Chamba,Chamba
472,Himachal Pradesh,Hamirpur,Hamirpur,Hamirpur
473,Himachal Pradesh,Kangra,Dharamsala,Dharamsala
474,Himachal Pradesh,Kangra,Palampur,Palampur
475,Himachal Pradesh,Kangra,Kangra,Kangra
476,Himachal Pradesh,Kangra,Nurpur,Nurpur
477,Himachal Pradesh,Kinnaur,Reckong Peo,Reckong Peo
478,Himachal Pradesh,Kullu,Banjar,Banjar
479,Himachal Pradesh,Kullu,Manali,Manali
480,Himachal Pradesh,Kullu,Kullu,Kullu
481,Himachal Pradesh,Lahaul and Spiti,Kaza,Kaza
482,Himachal Pradesh,Lahaul and Spiti,Keylong,Keylong
483,Himachal Pradesh,Mandi,Jogindernagar,Jogindernagar
484,Himachal Pradesh,Mandi,Sundernagar,Sundernagar
485,Himachal Pradesh,Mandi,Mandi,Mandi
486,Himachal Pradesh,Shimla,Narkanda,Narkanda
487,Himachal Pradesh,Shimla,Shimla,Shimla
488,Himachal Pradesh,Shimla,Rampur,Rampur
489,Himachal Pradesh,Sirmaur,Paonta Sahib,Paonta Sahib
